id,floor,type,description,hint,correct_recipe_id,is_escape_trigger
0,1,single,"Офисный работник в костюме, нервно поглядывает на часы","Хочу что-нибудь быстрое и сытное с ветчиной",1,0
1,1,single,"Студентка с ноутбуком, уставшие глаза","Мне бы взбодриться... а то ночь не спала чтобы сдать курсовую",0,0
2,1,single,"Пожилой мужчина в очках, читает газету","Что-нибудь без мяса. Хлебушек с чем-нибудь пикантным",4,0
3,1,single,"Курьер в шлеме, запыхался","Быстро! Какой-нибудь бутерброд!",1,0
4,1,single,"Дама в шляпке, капризно морщится","Хочу свежий салатик. Не сухой, с соусом, и обязательно с овощами",2,0
5,1,single,"Молодой парень с наушниками","Что-нибудь необычное... пиво есть?",5,0
6,1,single,"Деловая женщина, говорит по телефону","Мне какую-нибудь чесночную закуску. Быстро, я тороплюсь",4,0
7,1,single,"Школьник с рюкзаком","Хочу суп! Мама готовит невкусный, у вас лучше!",7,0
8,1,single,"Турист с картой города","Что-нибудь итальянское! Паста, или что-то похожее",3,0
9,1,single,"Программист в худи, смотрит в телефон","Хочу какие-нибудь бутеры с помидорами. Типа брускет",6,0
10,2,group,"Молодая компания друзей, громко смеются","Нам что-нибудь сытное с мясом. Пусть будет странно, но можно даже с ананасом",8,0
11,2,group,"Семья с детьми, дети бегают","Рыбное что-нибудь! С рисом. Дети любят рыбу",9,0
12,2,group,"Тихая семья. Отец смотрит на тебя с пониманием","Хочу что-нибудь сладкое, торт или пирог какой у вас есть",10,1
13,3,vip,"Строгий ресторанный критик в галстуке","Мне стейк. Но не простой — с вином и чем-нибудь сладким",11,0
14,3,vip,"Богатая дама в мехах","Лазанья. Настоящая. С мясом, помидорами и сыром",12,0
15,3,vip,"Блогер-гурман, снимает всё на телефон","Что-нибудь эксклюзивное! Хочу русской кухни!",13,0
16,3,vip,"Нувориш с золотыми часами","Пицца. Деньги не считаю. Принеси мне самую необычную пиццу",8,0
17,3,vip,"Пожилой аристократ, говорит медленно","Классический изысканный стейк, уважаемый. Порадуй старика",11,0
18,3,vip,"Молодая наследница, скучает","Настоящей итальнской лазаньи. Не думаю что вы сделаете лучше, чем я ела в Риме",12,0
